sps_descripcion,fecha
"AUTO LUJOSO A BATERIA SHS-7005",13/11/2009
"AUTO LUJOSO A BATERIA SHS-7005",13/11/2009
"AUTO LUJOSO A BATERIA SHS-7005",05/12/2007
"AUTO LUJOSO A BATERIA SHS-7005",07/12/2007
"AUTO LUJOSO A BATERIA SHS-7005",24/11/2009
"AUTO LUJOSO A BATERIA SHS-7005",19/11/2009
"AUTO LUJOSO A BATERIA SHT-7101-13",22/11/2007
"AUTO LUJOSO A BATERIA SHT-7101-13",24/11/2009
"AUTO LUJOSO A BATERIA SHT-7101-13",09/11/2007
"AUTO PEDAL SHJ-110-IC-10",12/11/2009
"AUTO PEDAL SHJ-110-IC-10",17/12/2009
"AUTO PEDAL SHJ-110-IC-10",13/11/2009
"AUTO PEDAL SHJ-110-IC-10",13/11/2009
"AUTO PEDAL SHJ-110-IC-10",14/12/2009
"AUTO PEDAL SHJ-777-IC-10",13/11/2009
"AUTO PEDAL SHJ-777-IC-10",15/12/2009
"AUTO PEDAL SHJ-777-IC-10",24/11/2009
"AUTO PEDAL SHJ-777-IC-10",12/11/2009
"AUTO PEDAL SHJ-777-IC-10",13/11/2009
"BICICLETA BX-X14-09",13/11/2009
"BICICLETA BY-1203-10",13/11/2009
"BICICLETA BY-1210-10",13/11/2009
"BICICLETA BY-1212-09",13/11/2009
"BICICLETA BY-1404-10",13/11/2009
"BINOCULAR 4*30",13/11/2007
"BINOCULAR 4*30",19/12/2007
BOLSA,07/12/2006
BOLSA,22/12/2011
BOLSA,03/10/2006
BOLSA,14/11/2007
BOLSA,20/10/2006
"BOTA DE NIEVE NÂº11",26/10/2011
"CANILLERA AS034",08/10/2010
"CANILLERA AS034",05/12/2007
"CANILLERA AS034",22/11/2010
"CANILLERA AS034",13/11/2009
"CANILLERA AS034",09/10/2007
"CANILLERA AS034",12/11/2009
"CANILLERA AS034",07/12/2006
"CANILLERA AS042M",11/11/2011
"CANILLERA AS042M",17/12/2013
"CANILLERA AS042M",13/11/2012
"CANILLERA AS042M",24/10/2012
"CANILLERA AS042M",26/10/2007
"CANILLERA TOBILLERA AS029S-13",13/10/2009
"CANILLERA TOBILLERA AS029S-13",07/11/2007
"CANILLERA TOBILLERA AS029S-13",14/10/2009
"CANILLERA TOBILLERA AS029S-13",31/10/2006
"CANILLERA TOBILLERA AS029S-13",12/12/2006
"CANILLERA TOBILLERA AS029S-13",04/12/2012
"CANILLERA TOBILLERA AS029S-13",21/12/2007
"CANILLERA TOBILLERA AS029S-13",09/12/2010
"CANILLERA TOBILLERA AS029S-13",21/11/2012
"CANILLERA TOBILLERA AS029S-13",24/11/2006
"CANILLERA TOBILLERA AS029S-13",09/10/2007
"CANILLERA TOBILLERA AS029S-13",15/11/2006
"CANILLERA TOBILLERA AS029S-13",12/12/2006
"CANILLERA TOBILLERA AS029S-13",19/12/2009
"CANILLERA TOBILLERA AS029S-13",09/11/2007
"CANILLERA TOBILLERA AS029S-13",07/12/2006
"CANILLERA TOBILLERA AS029S-13",18/12/2007
"CANILLERA TOBILLERA AS029S-13",22/11/2010
"CANILLERA TOBILLERA AS029S-13",14/11/2011
"CANILLERA TOBILLERA AS029S-13",17/11/2006
"CANILLERA TOBILLERA AS029S-13",24/10/2006
"CANILLERA TOBILLERA AS029S-13",19/12/2006
"CANILLERA TOBILLERA AS029S-13",02/10/2009
"CANILLERA TOBILLERA AS029S-13",14/12/2007
"CANILLERA TOBILLERA AS029S-13",26/10/2007
"CANILLERA TOBILLERA AS029S-13",14/12/2007
"CANILLERA TOBILLERA AS029S-13",01/12/2009
"CANILLERA TOBILLERA AS029S-13",04/12/2006
"CANILLERA TOBILLERA AS029S-13",19/11/2010
"CANILLERA TOBILLERA AS029S-13",30/10/2007
"CANILLERA TOBILLERA AS029S-13",02/10/2009
"CANILLERA TOBILLERA AS029S-13",14/11/2011
"CANILLERA TOBILLERA AS029S-13",11/11/2010
"CANILLERA TOBILLERA AS029S-13",01/12/2010
"CANILLERA TOBILLERA AS029S-13",22/11/2007
"CANILLERA TOBILLERA AS029S-13",07/11/2006
"CANILLERA TOBILLERA AS029S-13",19/10/2007
"CANILLERA TOBILLERA AS029S-13",14/12/2007
"CANILLERA TOBILLERA AS029S-13",06/12/2010
"CANILLERA TOBILLERA AS029S-13",11/10/2007
"CANILLERA TOBILLERA AS029S-13",10/10/2006
"CANILLERA TOBILLERA AS029S-13",03/11/2011
"CANILLERA TOBILLERA AS029S-13",14/11/2006
"CANILLERA TOBILLERA AS029S-13",15/12/2006
"CANILLERA TOBILLERA AS029S-13",23/11/2010
"CANILLERA TOBILLERA AS029S-13",07/12/2007
"CANILLERA TOBILLERA AS029S-13",27/10/2009
"CANILLERA TOBILLERA AS029S-13",11/11/2011
"CANILLERA TOBILLERA AS029S-13",17/10/2006
"CANILLERA TOBILLERA AS029S-13",03/12/2013
"CANILLERA TOBILLERA AS029S-13",09/12/2009
"CANILLERA TOBILLERA AS029S-13",05/10/2010
"CANILLERA TOBILLERA AS029S-13",17/12/2006
"CANILLERA TOBILLERA AS029S-13",20/10/2006
"CANILLERA TOBILLERA AS029S-13",08/10/2010
"CANILLERA TOBILLERA AS029S-13",31/12/2007
"CANILLERA TOBILLERA AS029S-13",01/12/2006
"CANILLERA TOBILLERA AS029S-13",06/12/2007
"CANILLERA TOBILLERA AS029S-13",07/12/2006
"CANILLERA TOBILLERA AS029S-13",22/11/2006
"CANILLERA TOBILLERA AS029S-13",15/12/2006
"CANILLERA TOBILLERA AS029S-13",17/11/2011
"CANILLERA TOBILLERA AS029S-13",05/10/2006
"CANILLERA TOBILLERA AS029S-13",14/11/2006
"CANILLERA TOBILLERA AS029S-13",04/11/2011
"CANILLERA TOBILLERA AS029S-13",15/11/2007
"CANILLERA TOBILLERA AS029S-13",24/11/2010
"CANILLERA TOBILLERA AS029S-13",04/12/2009
"CANILLERA TOBILLERA AS029S-13",15/11/2011
"CANILLERA TOBILLERA AS029S-13",12/11/2012
"CANILLERA TOBILLERA AS043S",04/10/2007
"CANILLERA TOBILLERA AS043S",19/12/2007
"CANILLERA TOBILLERA AS043S",16/10/2007
"CANILLERA TOBILLERA AS043S",09/11/2007
"CANILLERA TOBILLERA AS043S",20/11/2006
"CARRO AUTO H-03-IC-09",13/11/2009
"CARRO AUTO H-04-IC-13",10/12/2010
"CARRO AUTO H-04-IC-13",22/11/2007
"CARRO AUTO H-04-IC-13",13/11/2009
"CARRO AUTO H-04-IC-13",11/12/2007
"CARRO AUTO H-04-IC-13",16/12/2007
"CARRO AUTO H-05-BAR-09",13/11/2009
"CARRO AUTO H-06-BAR-09",13/11/2009
"CARRO AUTO H-06-BAR-09",11/12/2007
"CARRO AUTO H-06-BAR-09",16/12/2007
"CARRO AUTO H-06-BAR-09",10/12/2010
"CARRO AUTO H-06-BAR-09",04/12/2009
"CARRO AUTO H-06-BAR-09",16/10/2007
"CARRO AUTO H-07-IC-BAR-09",22/11/2007
"CARRO AUTO H-07-IC-BAR-09",04/12/2009
"CARRO AUTO H-08-IC-BAR-09",13/11/2009
"CARRO AUTO H-09-IC-BAR",09/11/2007
"CARRO AUTO H-09-IC-BAR",11/12/2007
"CARRO AUTO H-09-IC-BAR",16/12/2007
"CARRO AUTO H-09-IC-BAR",22/11/2007
"CARRO AUTO H-11-IC-09",04/12/2009
"CARRO AUTO H-11-IC-09",24/11/2009
"CARRO AUTO H-11-IC-09",13/11/2009
"CARRO AUTO H-11-IC-09",09/11/2007
"CARRO AUTO H-11-IC-09",22/11/2007
"CASCO CHICO RODILLERA CODERA-10",22/11/2006
"CASCO CHICO RODILLERA CODERA-10",11/12/2006
"CASCO CHICO RODILLERA CODERA-10",29/11/2006
"CASCO CHICO RODILLERA CODERA-10",15/12/2006
"CASCO CHICO RODILLERA CODERA-10",28/11/2011
"CASCO CHICO RODILLERA CODERA-10",13/12/2013
"CASCO CHICO RODILLERA CODERA-10",16/11/2011
"CASCO CHICO RODILLERA CODERA-10",25/11/2010
"CASCO CHICO RODILLERA CODERA-10",12/12/2006
"CASCO CHICO RODILLERA CODERA-10",22/11/2007
"CASCO CHICO RODILLERA CODERA-10",09/12/2011
"CASCO CHICO RODILLERA CODERA-10",24/10/2011
"CASCO CHICO RODILLERA CODERA-10",23/11/2009
"CASCO CHICO RODILLERA CODERA-10",12/12/2006
"CASCO CHICO RODILLERA CODERA-10",25/10/2011
"CASCO CHICO RODILLERA CODERA-10",28/11/2013
"CASCO CHICO RODILLERA CODERA-10",22/12/2010
"CASCO CHICO RODILLERA CODERA-10",04/12/2012
"CASCO CHICO RODILLERA CODERA-10",24/11/2010
"CASCO CHICO RODILLERA CODERA-10",24/12/2009
"CASCO CHICO RODILLERA CODERA-10",21/12/2006
"CASCO CHICO RODILLERA CODERA-10",15/12/2010
"CASCO CHICO RODILLERA CODERA-10",20/12/2012
"CASCO CHICO RODILLERA CODERA-10",15/12/2006
"CASCO CHICO RODILLERA CODERA-10",22/11/2007
"CASCO CHICO RODILLERA CODERA-10",10/12/2010
"CASCO CHICO RODILLERA CODERA-10",23/12/2011
"CASCO CHICO RODILLERA CODERA-10",01/12/2009
"CASCO CHICO RODILLERA CODERA-10",19/11/2010
"CASCO CHICO RODILLERA CODERA-10",13/11/2009
"CASCO CHICO RODILLERA CODERA-10",23/12/2010
"CASCO CHICO RODILLERA CODERA-10",15/12/2009
"CASCO CHICO RODILLERA CODERA-10",01/12/2006
"CASCO CHICO RODILLERA CODERA-10",23/10/2013
"CASCO CHICO RODILLERA CODERA-10",05/11/2010
"CASCO CHICO RODILLERA CODERA-10",13/12/2006
"CASCO CHICO RODILLERA CODERA-10",23/11/2007
"CASCO CHICO RODILLERA CODERA-10",22/11/2006
"CASCO CHICO RODILLERA CODERA-10",21/12/2006
"CASCO CHICO RODILLERA CODERA-10",24/11/2006
"CASCO CHICO RODILLERA CODERA-10",12/11/2009
"CASCO CHICO RODILLERA CODERA-10",21/12/2007
"CASCO CHICO RODILLERA CODERA-10",04/12/2013
"CASCO CHICO RODILLERA CODERA-10",16/11/2011
"CASCO CHICO RODILLERA CODERA-10",14/11/2011
"CASCO CHICO RODILLERA CODERA-10",23/11/2010
"CASCO CHICO RODILLERA CODERA-10",22/12/2010
"CASCO CHICO RODILLERA CODERA-10",13/12/2006
"CASCO CHICO RODILLERA CODERA-10",28/12/2007
"CASCO CHICO RODILLERA CODERA-10",30/10/2009
"CASCO CHICO RODILLERA CODERA-10",29/11/2012
"CASCO CHICO RODILLERA CODERA-10",24/11/2010
"CASCO CHICO RODILLERA CODERA-10",19/11/2009
"CASCO CHICO RODILLERA CODERA-10",04/12/2013
"CASCO CHICO RODILLERA CODERA-10",22/11/2010
"CASCO CHICO RODILLERA CODERA-10",15/12/2010
"CASCO CHICO RODILLERA CODERA-10",22/12/2009
"CASCO CHICO RODILLERA CODERA-10",17/12/2013
"CASCO CHICO RODILLERA CODERA-10",11/12/2009
"CASCO CHICO RODILLERA CODERA-10",11/11/2011
"CASCO CHICO RODILLERA CODERA-10",22/11/2010
"CASCO CHICO RODILLERA CODERA-10",20/12/2007
"CASCO CHICO RODILLERA CODERA-10",04/12/2009
"CASCO CHICO RODILLERA CODERA-10",08/11/2011
"CASCO CHICO RODILLERA CODERA-10",24/12/2010
"CASCO CHICO RODILLERA CODERA-10",21/12/2011
"CASCO CHICO RODILLERA CODERA-10",06/12/2007
"CASCO CHICO RODILLERA CODERA-10",19/12/2011
"CASCO CHICO RODILLERA CODERA-10",27/12/2007
"CASCO CHICO RODILLERA CODERA-10",23/12/2013
"CASCO CHICO RODILLERA CODERA-10",19/12/2009
"CASCO CHICO RODILLERA CODERA-10",04/12/2012
"CASCO CHICO RODILLERA CODERA-10",26/10/2007
"CASCO CHICO RODILLERA CODERA-10",21/12/2007
"CASCO CHICO RODILLERA CODERA-10",02/12/2009
"CASCO CHICO RODILLERA CODERA-10",14/12/2010
"CASCO CHICO RODILLERA CODERA-10",19/12/2007
"CASCO CHICO RODILLERA CODERA-10",22/12/2009
"CASCO CHICO RODILLERA CODERA-10",21/11/2011
"CASCO CHICO RODILLERA CODERA-10",15/12/2007
"CASCO CHICO RODILLERA CODERA-10",14/11/2013
"CASCO CHICO RODILLERA CODERA-10",22/11/2006
"CASCO CHICO RODILLERA CODERA-10",08/12/2009
"CASCO CHICO RODILLERA CODERA-10",11/10/2011
"CASCO CHICO RODILLERA CODERA-10",10/12/2010
"CASCO CHICO RODILLERA CODERA-10",13/12/2006
