propiedad;precio;ALMACENES PEQUENOS VENTA DE ALIMENTOS;ESTABLECIMIENTOS DE ENSENANZA PRIMARIA Y SECUNDARIA PARA ADULTOS;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;PELUQUERIAS Y SALONES DE BELLEZA;ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;RESTAURANTES;VENTAS AL POR MENOR DE OTROS PROD. EN ALMACENES ESPECIALIZADOS N.C.P.;VENTA AL POR MENOR DE BEBIDAS Y LICORES BOTILLERIAS;ADMINISTRACION DE MERCADOS FINANCIEROS;ESTABLECIMIENTOS DE COMIDA RAPIDA BARES, FUENTES DE SODA, PIZZERIAS;ALMACENES MEDIANOS VENTA DE ALIMENTOS- SUPERMERCADOS, MINIMARKETS;VENTA AL POR MENOR DE PRODUCTOS DE PANADERIA Y PASTELERIA;OTRAS REPARACIONES DE EFECTOS PERSONALES Y ENSERES DOMESTICOS N.C.P.;SERVICIOS DE OTROS ESTABLECIMIENTOS QUE EXPENDEN COMIDAS Y BEBIDAS;VENTA AL POR MENOR DE CARNES, PRODUCTOS CARNICOS Y SIMILARES;COMERCIO AL POR MENOR DE VERDURAS Y FRUTAS VERDULERIA;ESTABLECIMIENTOS MEDICOS DE ATENCION AMBULATORIA CENTROS MEDICOS;VENTA AL POR MENOR DE ART. DE FERRETERIA Y MATERIALES DE CONSTRUCCION;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.;VENTA  AL POR MENOR DE ALIMENTOS  PARA MASCOTAS Y ANIMALES EN GENERAL;FARMACIAS - PERTENECIENTES A CADENA DE ESTABLECIMIENTOS;OTRAS ACTIVIDADES DE ENTRETENIMIENTO N.C.P.;BANCOS;VENTA AL POR MENOR DE MUEBLES- INCLUYE COLCHONES;VENTA AL POR MENOR DE PRODUCTOS DE CONFITERIAS, CIGARRILLOS, Y OTROS;VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS N.C.P.;VENTA AL POR MAYOR DE COMBUSTIBLES LIQUIDOS;VENTA AL POR MAYOR DE  LIBROS;VENTA AL POR MENOR DE APARATOS, ART, EQUIPO DE USO DOMESTICO N.C.P.;ACTIVIDADES DE OTRAS ORGANIZACIONES PROFESIONALES;COMERCIO POR MENOR DE ARTICULOS  DE JOYERIA, FANTASIAS Y RELOJERIAS;SERVICIOS DE COBRANZA DE CUENTAS;VENTA AL POR MENOR DE FLORES, PLANTAS, ARBOLES, SEMILLAS, ABONOS;HOSPITALES Y CLINICAS;FABRICACION  DE APARATOS DE USO DOMESTICO N.C.P.;IMPRESION PRINCIPALMENTE DE LIBROS;LAVADO Y LIMPIEZA DE PRENDAS DE TELA Y PIEL, INCLUSO LIMPIEZAS EN SECO;SERVICIOS DE COMIDA PREPARADA EN FORMA INDUSTRIAL;AGENCIAS DE TRANSPORTE;COMERCIO AL POR MENOR DE ARTICULOS TIPICOS ARTESANIAS;ARRIENDO DE INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS;HOTELES;REPARACION DE INSTRUMENTOS DE OPTICA N.C.P Y EQUIPO FOTOGRAFICOS;SISTEMA DE JUEGOS DE AZAR MASIVOS.;EXPLOTACION DE INSTALACIONES ESPECIALIZADAS PARA PRACTICAS DEPORTIVAS;SERVICIOS DE FOTOCOPIAS;COMERCIO AL POR MENOR DE PRODUCTOS DE VIDRIO;COMERCIO AL POR MENOR DE COMPUTADORAS, SOFTWARES Y SUMINISTROS;GRANDES TIENDAS DE PRODUCTOS DE VESTUARIO Y HOGAR;ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PUBLICO Y DE SEGURIDAD;CONSTRUCCION DE EDIFICIOS COMPLETOS O DE PARTES DE EDIFICIOS;FORJA, PRENSADO, ESTAMPADO, LAMINADO DE METAL- INCLUYE PULVIMETALURGIA;ELABORACION DE PRODUCTOS DE ALUMINIO EN FORMAS PRIMARIAS;COMERCIO AL POR MENOR DE ARTICULOS FOTOGRAFICOS;OTRAS ACTIVIDADES DE SERVICIOS FUNERARIOS Y OTRAS ACTIVIDADES CONEXAS;VENTA AL POR MAYOR DE ART. DE PERFUMERIA, COSMETICOS Y PROD. LIMPIEZA;COMERCIO POR MENOR DE JUGUETES;VENTA AL POR MAYOR DE DESECHOS METALICOS CHATARRA;EDUCACION EXTRAESCOLAR (ESCUELA DE CONDUCCION, MUSICA, MODELAJE, ETC);CORREDORES DE PROPIEDADES;VENTA AL POR MENOR DE DISCOS, CASSETTES, DVD Y VIDEOS;TRANSPORTES POR TAXIS LIBRES Y RADIOTAXIS;FAB. DE POSTRES A BASE DE LECHE HELADOS, SORBETES Y OTROS SIMILARES;PORTADORES TELEFONICOS LARGA DISTANCIA NACIONAL E INTERNACIONAL;
52;1890;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
53;1899;101-200;101-200;0-100;101-200;301-400;>400;201-300;101-200;101-200;>400;201-300;201-300;>400;301-400;>400;301-400;>400;>400;301-400;301-400;101-200;>400;>400;>400;>400;>400;101-200;101-200;>400;301-400;>400;>400;201-300;>400;>400;101-200;201-300;>400;201-300;101-200;201-300;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;101-200;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
54;1915;101-200;201-300;0-100;301-400;101-200;301-400;0-100;301-400;201-300;>400;301-400;201-300;301-400;201-300;>400;301-400;301-400;0-100;0-100;201-300;>400;301-400;301-400;>400;201-300;101-200;>400;>400;301-400;301-400;>400;>400;301-400;>400;>400;301-400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;301-400;>400;>400;301-400;301-400;>400;301-400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;
55;1925;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
56;1950;0-100;101-200;0-100;101-200;101-200;101-200;101-200;101-200;0-100;>400;101-200;101-200;0-100;0-100;101-200;0-100;101-200;101-200;301-400;0-100;301-400;101-200;101-200;101-200;>400;101-200;>400;>400;101-200;>400;101-200;201-300;101-200;201-300;>400;101-200;0-100;201-300;301-400;201-300;>400;>400;>400;301-400;101-200;101-200;101-200;301-400;>400;>400;201-300;101-200;>400;301-400;>400;101-200;>400;>400;301-400;301-400;>400;>400;>400;>400;>400;
57;1965;0-100;101-200;201-300;101-200;101-200;201-300;201-300;201-300;201-300;>400;101-200;201-300;101-200;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;0-100;>400;301-400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
58;1990;101-200;101-200;0-100;201-300;301-400;0-100;101-200;0-100;101-200;>400;0-100;0-100;101-200;101-200;101-200;>400;>400;>400;101-200;301-400;>400;>400;101-200;101-200;0-100;0-100;0-100;>400;>400;0-100;201-300;>400;>400;>400;>400;301-400;201-300;>400;301-400;>400;>400;301-400;301-400;>400;>400;0-100;>400;>400;>400;>400;301-400;201-300;>400;101-200;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;
59;1995;0-100;101-200;101-200;0-100;>400;>400;101-200;0-100;201-300;>400;0-100;201-300;>400;201-300;>400;>400;0-100;301-400;0-100;101-200;>400;>400;101-200;0-100;201-300;>400;101-200;0-100;301-400;101-200;>400;>400;>400;>400;0-100;>400;201-300;>400;>400;>400;>400;101-200;201-300;>400;0-100;>400;301-400;>400;301-400;>400;201-300;>400;301-400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;0-100;>400;
60;1999;0-100;0-100;201-300;301-400;201-300;>400;0-100;>400;301-400;>400;0-100;101-200;301-400;301-400;0-100;>400;>400;>400;>400;301-400;>400;>400;101-200;>400;>400;>400;301-400;201-300;0-100;301-400;>400;>400;201-300;301-400;201-300;>400;>400;201-300;>400;>400;>400;>400;301-400;>400;>400;301-400;301-400;>400;>400;>400;201-300;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
61;1999;0-100;0-100;101-200;101-200;201-300;0-100;101-200;0-100;201-300;>400;101-200;101-200;201-300;0-100;101-200;301-400;101-200;101-200;0-100;101-200;301-400;101-200;101-200;101-200;201-300;201-300;0-100;>400;>400;>400;301-400;101-200;201-300;>400;>400;101-200;101-200;>400;>400;101-200;201-300;0-100;>400;101-200;201-300;201-300;301-400;101-200;201-300;201-300;101-200;301-400;>400;>400;>400;>400;101-200;201-300;>400;>400;>400;201-300;>400;>400;101-200;
62;2007;0-100;101-200;0-100;201-300;101-200;201-300;101-200;301-400;201-300;>400;301-400;0-100;>400;>400;201-300;>400;101-200;0-100;201-300;301-400;201-300;201-300;>400;201-300;201-300;>400;301-400;>400;301-400;>400;201-300;>400;301-400;>400;201-300;>400;>400;201-300;>400;>400;>400;>400;>400;>400;201-300;201-300;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;301-400;>400;>400;>400;301-400;>400;201-300;>400;>400;
63;2010;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
64;2056;0-100;201-300;0-100;101-200;101-200;101-200;0-100;101-200;101-200;>400;0-100;201-300;101-200;101-200;0-100;201-300;101-200;201-300;201-300;0-100;201-300;201-300;0-100;>400;201-300;101-200;101-200;101-200;201-300;0-100;301-400;>400;201-300;>400;101-200;101-200;101-200;>400;201-300;201-300;>400;201-300;>400;201-300;201-300;201-300;>400;301-400;>400;>400;0-100;201-300;201-300;301-400;>400;301-400;>400;301-400;>400;201-300;>400;>400;>400;201-300;>400;
65;2060;0-100;0-100;>400;0-100;0-100;201-300;0-100;0-100;101-200;>400;0-100;0-100;301-400;0-100;201-300;>400;201-300;301-400;101-200;0-100;301-400;301-400;301-400;201-300;0-100;0-100;0-100;301-400;0-100;201-300;101-200;201-300;0-100;201-300;201-300;>400;201-300;0-100;301-400;301-400;201-300;>400;0-100;301-400;>400;301-400;201-300;>400;>400;301-400;201-300;101-200;>400;>400;301-400;>400;>400;>400;>400;201-300;>400;301-400;>400;>400;>400;
66;2065;101-200;0-100;>400;0-100;0-100;101-200;0-100;101-200;201-300;>400;101-200;0-100;301-400;101-200;301-400;>400;0-100;101-200;301-400;101-200;>400;>400;201-300;201-300;201-300;101-200;101-200;0-100;301-400;301-400;301-400;301-400;101-200;>400;>400;>400;101-200;101-200;301-400;201-300;>400;>400;101-200;301-400;>400;301-400;101-200;>400;201-300;301-400;301-400;0-100;101-200;>400;>400;>400;301-400;>400;>400;>400;>400;301-400;>400;>400;>400;
67;2100;0-100;301-400;201-300;201-300;0-100;301-400;201-300;301-400;0-100;>400;>400;201-300;301-400;>400;>400;>400;>400;>400;>400;0-100;301-400;301-400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
68;2100;101-200;101-200;201-300;101-200;101-200;>400;101-200;>400;101-200;>400;>400;301-400;101-200;101-200;>400;101-200;301-400;101-200;>400;>400;>400;301-400;101-200;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
69;2100;101-200;101-200;201-300;101-200;>400;>400;0-100;>400;101-200;>400;>400;101-200;101-200;>400;201-300;>400;201-300;101-200;>400;101-200;>400;>400;>400;>400;201-300;101-200;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;101-200;>400;101-200;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;
70;2105;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
71;2137;0-100;201-300;301-400;201-300;>400;201-300;0-100;201-300;301-400;>400;201-300;301-400;201-300;0-100;301-400;201-300;101-200;201-300;301-400;301-400;201-300;201-300;201-300;201-300;201-300;201-300;201-300;>400;101-200;101-200;201-300;301-400;>400;>400;201-300;0-100;>400;>400;>400;201-300;>400;301-400;201-300;201-300;201-300;201-300;>400;301-400;>400;201-300;301-400;>400;301-400;201-300;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;201-300;
72;2137;0-100;0-100;0-100;0-100;101-200;101-200;0-100;0-100;0-100;>400;101-200;0-100;101-200;0-100;0-100;101-200;101-200;201-300;0-100;201-300;101-200;0-100;101-200;301-400;101-200;0-100;101-200;0-100;101-200;0-100;>400;301-400;201-300;>400;101-200;101-200;0-100;>400;101-200;301-400;>400;101-200;301-400;101-200;0-100;0-100;>400;201-300;>400;>400;201-300;301-400;0-100;201-300;>400;301-400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;
73;2142;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
74;2149;0-100;0-100;201-300;301-400;201-300;>400;0-100;>400;301-400;>400;0-100;101-200;301-400;301-400;0-100;>400;>400;>400;>400;301-400;>400;>400;101-200;>400;>400;>400;301-400;201-300;0-100;301-400;>400;>400;201-300;301-400;201-300;>400;>400;201-300;>400;>400;>400;>400;301-400;>400;>400;301-400;301-400;>400;>400;>400;201-300;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
75;2150;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
76;2150;0-100;201-300;201-300;301-400;101-200;301-400;201-300;201-300;201-300;>400;201-300;301-400;201-300;>400;201-300;201-300;201-300;301-400;301-400;201-300;301-400;201-300;301-400;>400;>400;>400;201-300;201-300;>400;>400;301-400;301-400;201-300;>400;301-400;201-300;>400;201-300;>400;>400;>400;>400;>400;201-300;>400;301-400;>400;>400;>400;>400;>400;301-400;201-300;>400;301-400;301-400;>400;>400;>400;>400;201-300;>400;>400;201-300;>400;
77;2164;0-100;101-200;0-100;101-200;101-200;101-200;201-300;101-200;101-200;>400;101-200;101-200;101-200;101-200;201-300;0-100;301-400;201-300;201-300;101-200;301-400;301-400;101-200;301-400;>400;301-400;>400;301-400;201-300;>400;101-200;301-400;301-400;301-400;>400;201-300;101-200;101-200;>400;101-200;>400;>400;301-400;>400;301-400;101-200;201-300;>400;>400;>400;101-200;301-400;301-400;201-300;>400;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;>400;
78;2174;201-300;>400;101-200;301-400;301-400;>400;101-200;201-300;201-300;>400;201-300;201-300;>400;101-200;201-300;201-300;301-400;>400;>400;201-300;201-300;201-300;>400;>400;201-300;>400;301-400;101-200;>400;>400;>400;201-300;>400;>400;>400;0-100;201-300;>400;>400;201-300;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
79;2180;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
80;2190;0-100;0-100;0-100;0-100;301-400;0-100;0-100;0-100;0-100;>400;0-100;201-300;101-200;0-100;201-300;0-100;301-400;301-400;201-300;101-200;>400;>400;>400;>400;101-200;0-100;101-200;101-200;301-400;301-400;0-100;0-100;301-400;>400;>400;0-100;0-100;201-300;0-100;>400;>400;101-200;>400;201-300;201-300;>400;>400;101-200;>400;>400;>400;>400;>400;201-300;301-400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
81;2200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
82;2200;0-100;0-100;101-200;101-200;101-200;201-300;0-100;0-100;101-200;>400;101-200;201-300;0-100;0-100;201-300;201-300;301-400;101-200;101-200;301-400;101-200;101-200;101-200;>400;101-200;>400;301-400;101-200;101-200;201-300;101-200;>400;101-200;>400;>400;101-200;201-300;0-100;201-300;301-400;0-100;0-100;0-100;>400;>400;>400;101-200;101-200;>400;>400;301-400;>400;101-200;101-200;>400;301-400;>400;>400;>400;201-300;>400;>400;101-200;>400;>400;
83;2205;101-200;0-100;101-200;101-200;101-200;101-200;101-200;0-100;101-200;>400;0-100;201-300;0-100;0-100;301-400;101-200;201-300;101-200;0-100;101-200;>400;301-400;>400;201-300;101-200;301-400;0-100;201-300;101-200;301-400;>400;>400;>400;>400;101-200;0-100;0-100;301-400;301-400;101-200;>400;>400;101-200;101-200;301-400;>400;>400;0-100;>400;101-200;>400;>400;>400;0-100;201-300;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;
84;2212;0-100;101-200;201-300;101-200;201-300;101-200;201-300;0-100;101-200;>400;201-300;301-400;101-200;101-200;0-100;301-400;>400;201-300;101-200;301-400;301-400;301-400;>400;301-400;101-200;301-400;101-200;201-300;>400;201-300;301-400;201-300;301-400;>400;>400;0-100;101-200;>400;301-400;>400;>400;201-300;>400;301-400;301-400;>400;>400;>400;>400;>400;301-400;>400;>400;301-400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;
85;2227;201-300;201-300;201-300;201-300;>400;>400;201-300;201-300;>400;>400;>400;201-300;>400;201-300;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;>400;>400;201-300;201-300;>400;201-300;>400;>400;>400;>400;201-300;>400;>400;>400;201-300;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
86;2240;0-100;101-200;>400;101-200;201-300;101-200;0-100;101-200;201-300;301-400;101-200;0-100;101-200;101-200;201-300;>400;101-200;101-200;101-200;101-200;101-200;201-300;201-300;301-400;101-200;0-100;0-100;>400;0-100;201-300;0-100;201-300;0-100;201-300;301-400;301-400;101-200;101-200;101-200;>400;201-300;301-400;101-200;101-200;301-400;201-300;201-300;>400;301-400;201-300;101-200;101-200;>400;>400;301-400;>400;301-400;301-400;>400;301-400;>400;101-200;>400;>400;301-400;
87;2250;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
88;2263;201-300;>400;101-200;301-400;301-400;>400;101-200;201-300;201-300;>400;201-300;201-300;>400;101-200;201-300;201-300;301-400;>400;>400;201-300;201-300;201-300;>400;>400;201-300;>400;301-400;101-200;>400;>400;>400;201-300;>400;>400;>400;0-100;201-300;>400;>400;201-300;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
89;2310;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
90;2340;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
91;2350;>400;101-200;0-100;0-100;201-300;101-200;0-100;0-100;101-200;>400;101-200;101-200;201-300;0-100;201-300;101-200;>400;>400;201-300;101-200;>400;301-400;>400;301-400;101-200;101-200;201-300;201-300;301-400;201-300;101-200;101-200;301-400;>400;>400;101-200;0-100;>400;101-200;>400;301-400;0-100;>400;>400;301-400;>400;>400;201-300;>400;>400;>400;>400;>400;301-400;201-300;>400;>400;>400;301-400;301-400;>400;>400;>400;>400;>400;
92;2350;0-100;201-300;>400;0-100;201-300;0-100;0-100;0-100;0-100;101-200;0-100;0-100;101-200;201-300;101-200;101-200;101-200;101-200;101-200;201-300;>400;101-200;0-100;0-100;301-400;101-200;0-100;201-300;0-100;101-200;301-400;0-100;0-100;101-200;>400;101-200;>400;301-400;>400;101-200;101-200;301-400;201-300;101-200;101-200;>400;301-400;>400;301-400;101-200;201-300;101-200;>400;>400;0-100;>400;101-200;301-400;>400;101-200;>400;101-200;>400;101-200;101-200;
93;2390;0-100;201-300;301-400;0-100;201-300;>400;201-300;>400;0-100;>400;101-200;0-100;101-200;101-200;0-100;201-300;0-100;101-200;>400;201-300;0-100;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
94;2407;201-300;>400;101-200;301-400;301-400;>400;101-200;201-300;201-300;>400;201-300;201-300;>400;101-200;201-300;201-300;301-400;>400;>400;201-300;201-300;201-300;>400;>400;201-300;>400;301-400;101-200;>400;>400;>400;201-300;>400;>400;>400;0-100;201-300;>400;>400;201-300;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
95;2430;101-200;101-200;201-300;301-400;0-100;>400;301-400;301-400;201-300;>400;201-300;101-200;101-200;301-400;301-400;>400;301-400;301-400;>400;>400;301-400;>400;>400;101-200;>400;201-300;>400;>400;301-400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;201-300;>400;>400;>400;201-300;>400;>400;>400;101-200;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
96;2450;0-100;0-100;201-300;201-300;301-400;>400;101-200;101-200;>400;>400;201-300;201-300;>400;201-300;201-300;101-200;>400;101-200;>400;>400;>400;101-200;>400;301-400;>400;201-300;>400;>400;201-300;>400;201-300;>400;201-300;>400;>400;>400;>400;>400;201-300;>400;201-300;201-300;301-400;>400;>400;>400;>400;>400;201-300;201-300;201-300;101-200;>400;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;>400;301-400;>400;
97;2500;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
98;2500;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
99;2500;0-100;101-200;201-300;101-200;0-100;201-300;101-200;101-200;201-300;>400;101-200;101-200;101-200;101-200;301-400;201-300;101-200;0-100;201-300;>400;0-100;101-200;101-200;101-200;101-200;101-200;201-300;201-300;>400;>400;>400;101-200;101-200;>400;0-100;>400;301-400;201-300;>400;>400;>400;>400;>400;301-400;301-400;301-400;>400;>400;201-300;101-200;301-400;101-200;>400;201-300;>400;301-400;>400;>400;>400;>400;>400;201-300;201-300;>400;301-400;
100;2550;0-100;201-300;301-400;301-400;201-300;201-300;201-300;201-300;201-300;>400;301-400;>400;301-400;301-400;301-400;301-400;301-400;301-400;>400;301-400;>400;301-400;301-400;>400;>400;>400;301-400;>400;>400;>400;301-400;>400;>400;>400;301-400;301-400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;101-200;>400;>400;301-400;>400;>400;>400;>400;301-400;>400;>400;301-400;>400;
101;2580;201-300;101-200;201-300;101-200;0-100;>400;101-200;>400;>400;>400;>400;201-300;201-300;301-400;301-400;>400;301-400;>400;>400;>400;301-400;>400;>400;>400;201-300;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
102;2580;101-200;0-100;101-200;0-100;301-400;>400;>400;301-400;>400;>400;>400;201-300;101-200;>400;101-200;>400;>400;>400;>400;301-400;0-100;>400;>400;>400;>400;>400;>400;201-300;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;0-100;>400;301-400;301-400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
